1|5|Coupon #1|Coupon earned because the guide has cancelled a tour.|26-Mar-24 12:00:00 AM|6|Expired
2|5|Coupon #2|Coupon earned because the guide has cancelled a tour.|26-Jan-24 12:00:00 AM|6|Expired
3|5|Coupon #3|Coupon earned because you went on 5 tours this year!|26-Dec-23 12:00:00 AM|6|Expired
4|5|Coupon #4|Coupon earned because the guide has cancelled a tour.|26-Jan-22 12:00:00 AM|6|Expired
5|5|Coupon #5|Coupon earned because you went on 5 tours this year!|26-Dec-23 12:00:00 AM|6|Expired
6|5|Coupon #6|Coupon earned because you went on 5 tours this year!|26-Nov-23 12:00:00 AM|6|Expired
7|5|Coupon #7|Coupon earned because you went on 5 tours this year!|26-Dec-23 12:00:00 AM|6|Expired
8|5|Coupon #8|Coupon earned because you went on 5 tours this year!|26-Dec-23 12:00:00 AM|6|Expired
9|5|Coupon #9|Coupon earned because the guide quit his job (F's in chat)!|26-Dec-23 12:00:00 AM|6|Valid
10|5|Tour Coupon #10|Coupon awarded because the guide has canelled the tour|14-Apr-24 5:58:28 PM|12|Expired
11|5|Tour Coupon #11|Coupon awarded because you attended 5 different tours in the past year!|01-Jun-24 12:07:07 PM|6|Valid
12|5|Tour Coupon #12|Coupon awarded because the guide has canelled the tour|04-Jun-24 2:39:15 PM|12|Valid
